N,P,K,ph,Organic Matter (%),Soil Texture,Irrigation Source,Region,Suitable Crops
40,64,16,5.926676985,4.784246898,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
2,61,20,5.95561668,0.63497878,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
26,65,22,5.949949081,2.895781929,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
17,57,21,5.789214289,4.010600093,Loamy,Tube well,Rawalpindi,"Barley, Maize"
26,80,18,5.581021521,2.750053752,Sandy,Rain-fed,Lahore,"Wheat, Rice"
17,59,17,5.689858133,4.448301855,Clayey,Tube well,Lahore,"Wheat, Rice"
27,59,22,5.794158504,3.171126614,Clayey,Canal,Multan,"Mango, Wheat"
28,58,24,5.748190463,2.259235259,Loamy,Tube well,Bahawalpur,"Dates, Millet"
25,57,19,5.566522896,2.049881018,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
28,80,17,5.809419584,1.367032585,Loamy,Tube well,Bahawalpur,"Dates, Millet"
25,60,22,5.887263027,1.748277932,Clayey,Rain-fed,Lahore,"Wheat, Rice"
12,78,23,5.99812453,4.34252593,Loamy,Canal,Lahore,"Wheat, Rice"
6,77,25,5.792744849,3.292381983,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
22,79,17,5.912289889,1.915158195,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
27,80,15,5.788386951,1.607856957,Clayey,Canal,Bahawalpur,"Dates, Millet"
10,55,23,5.728233081,4.380610066,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
23,65,20,5.833940084,2.740764937,Sandy,Rain-fed,Lahore,"Wheat, Rice"
19,78,16,5.967533236,1.191340251,Loamy,Canal,Multan,"Mango, Wheat"
19,65,25,5.625096446,2.135521567,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
22,70,19,5.515615023,2.190802689,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
37,64,22,5.954665349,4.01470521,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
11,71,17,5.74644777,1.504270203,Sandy,Canal,Multan,"Mango, Wheat"
18,79,20,5.877347515,2.967696964,Sandy,Canal,Lahore,"Wheat, Rice"
21,63,17,5.979973965,1.206727324,Sandy,Canal,Bahawalpur,"Dates, Millet"
24,80,22,5.635993966,4.73210672,Clayey,Tube well,Bahawalpur,"Dates, Millet"
34,60,22,5.635231778,3.302155123,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
16,75,21,5.679224346,4.320512384,Sandy,Tube well,Bahawalpur,"Dates, Millet"
17,77,23,5.670062975,4.736001803,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
37,72,18,5.724242065,4.010957969,Sandy,Canal,Bahawalpur,"Dates, Millet"
40,73,20,5.811314232,4.659896982,Sandy,Canal,Multan,"Mango, Wheat"
9,77,17,5.783425416,3.053607646,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
1,62,23,5.607808432,1.851292073,Loamy,Canal,Rawalpindi,"Barley, Maize"
33,59,22,5.946999529,4.311854459,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
23,59,19,5.852046999,2.702729935,Loamy,Canal,Bahawalpur,"Dates, Millet"
6,62,22,5.824090984,2.072385617,Loamy,Tube well,Lahore,"Wheat, Rice"
25,63,20,5.502999119,1.90007699,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
7,79,23,5.821649914,4.111944527,Clayey,Canal,Multan,"Mango, Wheat"
8,72,17,5.711439256,2.938498014,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
27,64,15,5.514927264,4.131804975,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
28,66,23,5.99616119,4.941684813,Sandy,Rain-fed,Lahore,"Wheat, Rice"
32,57,18,5.695422863,4.013667237,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
27,56,22,5.833010958,1.311236527,Clayey,Canal,Lahore,"Wheat, Rice"
17,77,24,5.568456899,4.06242982,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
0,65,15,5.645435626,4.43000114,Clayey,Rain-fed,Multan,"Mango, Wheat"
13,72,21,5.821194486,4.500357328,Sandy,Canal,Rawalpindi,"Barley, Maize"
34,60,23,5.659254981,4.116798308,Sandy,Canal,Lahore,"Wheat, Rice"
9,80,19,5.945465949,2.171892279,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
11,72,20,5.951177452,2.203882533,Loamy,Canal,Bahawalpur,"Dates, Millet"
3,67,24,5.520880014,1.690711935,Loamy,Tube well,Multan,"Mango, Wheat"
35,69,23,5.578410206,1.866110151,Sandy,Canal,Bahawalpur,"Dates, Millet"
3,77,25,5.608165195,4.92002058,Sandy,Rain-fed,Multan,"Mango, Wheat"
23,62,19,5.609435128,3.306594832,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
22,71,17,5.509295379,0.802312382,Sandy,Tube well,Multan,"Mango, Wheat"
31,79,25,5.902033406,1.680753892,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
34,59,18,5.744117663,4.276315459,Clayey,Canal,Bahawalpur,"Dates, Millet"
12,63,17,5.717143397,0.762442923,Sandy,Rain-fed,Lahore,"Wheat, Rice"
27,56,20,5.542690119,0.963078148,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
7,63,24,5.858617867,4.156000922,Clayey,Canal,Multan,"Mango, Wheat"
24,67,22,5.618844277,2.231670901,Sandy,Canal,Multan,"Mango, Wheat"
11,71,24,5.606620346,1.762435888,Loamy,Canal,Bahawalpur,"Dates, Millet"
37,74,15,5.582178402,1.243276069,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
25,76,24,5.56503533,4.257413718,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
34,66,17,5.889614577,1.392801719,Clayey,Tube well,Lahore,"Wheat, Rice"
20,69,15,5.934136378,2.998458902,Loamy,Canal,Bahawalpur,"Dates, Millet"
37,65,16,5.683548308,1.008658736,Loamy,Canal,Multan,"Mango, Wheat"
18,74,15,5.70836603,1.873733773,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
4,67,25,5.948164454,0.965267601,Clayey,Canal,Faisalabad,"Cotton, Sugarcane"
37,56,25,5.774755144,4.233900578,Clayey,Tube well,Rawalpindi,"Barley, Maize"
5,59,15,5.97229163,3.879168374,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
11,61,21,5.532100554,3.755927267,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
22,80,20,5.669560726,4.592184692,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
12,61,19,5.655726817,2.353545351,Loamy,Rain-fed,Multan,"Mango, Wheat"
5,74,21,5.591704014,0.772077822,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
27,69,22,5.932323085,0.854565302,Clayey,Canal,Rawalpindi,"Barley, Maize"
31,75,18,5.824208309,4.438883395,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
36,68,20,5.86442953,1.337847074,Clayey,Rain-fed,Lahore,"Wheat, Rice"
5,65,16,5.866744372,0.994113851,Clayey,Canal,Lahore,"Wheat, Rice"
32,79,15,5.706198621,0.565849271,Sandy,Rain-fed,Multan,"Mango, Wheat"
11,78,22,5.940546818,4.099568753,Sandy,Tube well,Multan,"Mango, Wheat"
0,55,22,5.916779289,0.945619275,Clayey,Rain-fed,Multan,"Mango, Wheat"
14,59,15,5.779090476,2.731911668,Clayey,Canal,Bahawalpur,"Dates, Millet"
29,68,23,5.82738029,1.630827561,Sandy,Canal,Multan,"Mango, Wheat"
32,68,19,5.514234138,3.973766587,Clayey,Rain-fed,Multan,"Mango, Wheat"
17,64,17,5.662699104,2.413903084,Sandy,Rain-fed,Lahore,"Wheat, Rice"
13,69,19,5.86390397,1.937793759,Loamy,Canal,Multan,"Mango, Wheat"
14,67,22,5.624690248,1.858992146,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
9,69,20,5.591560999,2.598130197,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
20,73,22,5.976312538,4.915152068,Sandy,Canal,Rawalpindi,"Barley, Maize"
40,78,20,5.669236258,4.133818195,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
27,72,23,5.961934481,4.452245616,Loamy,Canal,Bahawalpur,"Dates, Millet"
14,67,15,5.690065688,4.820176311,Sandy,Tube well,Multan,"Mango, Wheat"
7,56,18,5.698371311,0.94098108,Loamy,Tube well,Bahawalpur,"Dates, Millet"
27,65,18,5.59503163,3.740342367,Sandy,Tube well,Rawalpindi,"Barley, Maize"
30,63,16,5.525904526,3.449493302,Loamy,Canal,Bahawalpur,"Dates, Millet"
37,70,25,5.819403771,2.113315815,Loamy,Rain-fed,Multan,"Mango, Wheat"
27,63,19,5.562201934,2.062078644,Loamy,Tube well,Bahawalpur,"Dates, Millet"
22,60,24,5.630664753,1.844152813,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
3,72,24,6.03160778,0.62006414,Sandy,Canal,Lahore,"Wheat, Rice"
40,59,23,5.269084669,3.64224492,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
33,73,23,5.985792703,4.233710184,Clayey,Tube well,Lahore,"Wheat, Rice"
27,57,24,6.09186275,3.880289134,Sandy,Tube well,Rawalpindi,"Barley, Maize"
10,79,18,5.624731338,2.960256937,Clayey,Rain-fed,Lahore,"Wheat, Rice"
30,75,25,6.446091759,0.6733842,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
40,70,20,5.623490043,2.17053607,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
38,55,19,5.864623352,2.115897225,Sandy,Tube well,Bahawalpur,"Dates, Millet"
35,58,20,5.761702519,0.553931184,Clayey,Canal,Multan,"Mango, Wheat"
38,61,21,4.696518678,3.353507127,Loamy,Rain-fed,Multan,"Mango, Wheat"
33,58,24,5.269504214,2.73016396,Loamy,Tube well,Multan,"Mango, Wheat"
16,56,17,7.445444883,3.6461712,Clayey,Tube well,Multan,"Mango, Wheat"
31,72,17,5.833031708,3.514348278,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
16,80,20,7.339320929,3.659221168,Sandy,Rain-fed,Lahore,"Wheat, Rice"
27,72,17,6.347929353,1.017814998,Sandy,Canal,Multan,"Mango, Wheat"
40,62,19,4.697750704,0.825187671,Sandy,Tube well,Rawalpindi,"Barley, Maize"
18,58,16,4.962661422,4.925620323,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
3,68,16,4.964887857,4.94063618,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
26,67,24,5.642813116,1.396039305,Clayey,Canal,Faisalabad,"Cotton, Sugarcane"
16,70,20,5.6093956,2.784752537,Loamy,Canal,Bahawalpur,"Dates, Millet"
24,63,19,4.681576043,4.681071269,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
9,76,25,5.70951224,4.171762928,Clayey,Tube well,Lahore,"Wheat, Rice"
16,55,19,6.413543781,3.776947835,Loamy,Tube well,Bahawalpur,"Dates, Millet"
28,75,21,6.007508163,3.481058086,Clayey,Tube well,Bahawalpur,"Dates, Millet"
16,71,24,4.946369874,1.932497073,Clayey,Tube well,Lahore,"Wheat, Rice"
24,70,21,5.517208078,4.936386774,Clayey,Tube well,Lahore,"Wheat, Rice"
38,72,21,5.902103172,2.244933728,Loamy,Tube well,Bahawalpur,"Dates, Millet"
9,66,21,5.719889876,2.538203276,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
34,56,17,4.548202098,3.320095837,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
1,76,19,6.669529416,2.457633078,Sandy,Canal,Lahore,"Wheat, Rice"
6,69,19,4.750929218,4.790905602,Sandy,Canal,Lahore,"Wheat, Rice"
26,73,21,4.946263888,4.039191629,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
27,61,18,5.266227032,2.398413403,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
27,71,23,7.10959773,2.618961075,Sandy,Canal,Lahore,"Wheat, Rice"
36,61,21,5.617008201,4.100837215,Loamy,Canal,Rawalpindi,"Barley, Maize"
17,73,18,5.632353113,1.830075438,Loamy,Canal,Multan,"Mango, Wheat"
26,72,22,4.674941549,4.108756259,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
17,64,16,7.161797643,4.803031781,Clayey,Tube well,Lahore,"Wheat, Rice"
14,74,19,6.624966131,2.217822555,Loamy,Tube well,Lahore,"Wheat, Rice"
39,60,15,5.004074624,4.952618161,Clayey,Canal,Lahore,"Wheat, Rice"
6,66,15,6.345806011,1.917837251,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
8,59,18,6.216814453,3.641820666,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
2,67,18,5.921666758,4.131093694,Sandy,Rain-fed,Multan,"Mango, Wheat"
1,76,17,6.012719118,4.04580298,Loamy,Rain-fed,Lahore,"Wheat, Rice"
16,73,19,4.684079249,0.762099908,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
23,75,25,7.077170002,3.141366733,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
32,70,20,6.208843215,2.640962433,Sandy,Canal,Multan,"Mango, Wheat"
28,59,22,7.05181629,4.693186367,Sandy,Tube well,Rawalpindi,"Barley, Maize"
5,62,23,4.722222454,3.061298883,Loamy,Rain-fed,Lahore,"Wheat, Rice"
36,67,25,6.418062652,1.564807274,Loamy,Canal,Lahore,"Wheat, Rice"
1,66,23,4.803564468,2.255441743,Clayey,Tube well,Bahawalpur,"Dates, Millet"
24,73,20,4.608695247,2.519089118,Loamy,Canal,Lahore,"Wheat, Rice"
17,67,18,5.611510977,3.14222964,Loamy,Tube well,Multan,"Mango, Wheat"
5,55,18,7.322097972,3.645661019,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
5,56,24,5.023115055,2.28818563,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
37,77,17,5.617122801,1.96051831,Sandy,Canal,Bahawalpur,"Dates, Millet"
13,73,20,5.391560418,4.890208439,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
6,63,23,5.906596905,3.768095632,Clayey,Rain-fed,Multan,"Mango, Wheat"
16,77,22,6.574209678,2.153551905,Sandy,Tube well,Rawalpindi,"Barley, Maize"
25,64,20,4.807776749,1.794896754,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
34,75,24,4.760038039,2.336053035,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
20,77,23,5.180271502,3.841044648,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
35,80,25,4.895927306,1.162631914,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
14,75,24,6.436160044,3.410861566,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
36,80,21,7.066087261,4.031117807,Loamy,Canal,Lahore,"Wheat, Rice"
7,77,18,6.655918078,4.417922773,Clayey,Canal,Multan,"Mango, Wheat"
29,78,25,5.982854523,4.76049806,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
30,60,21,5.457871273,2.412163754,Sandy,Tube well,Rawalpindi,"Barley, Maize"
20,74,16,4.759490199,1.130769998,Loamy,Canal,Multan,"Mango, Wheat"
19,57,23,7.342409555,2.532689058,Clayey,Canal,Lahore,"Wheat, Rice"
3,60,19,4.820788186,4.672620201,Sandy,Rain-fed,Lahore,"Wheat, Rice"
5,77,19,6.242052013,1.156666925,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
5,68,20,5.001038726,4.894575156,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
37,73,21,5.560224583,4.5393684,Sandy,Tube well,Rawalpindi,"Barley, Maize"
9,59,24,4.747352458,0.679340247,Sandy,Tube well,Multan,"Mango, Wheat"
20,72,15,7.313517308,3.438719857,Sandy,Tube well,Bahawalpur,"Dates, Millet"
31,56,23,5.661826398,3.848993292,Clayey,Tube well,Multan,"Mango, Wheat"
0,70,21,4.672437054,1.629532671,Sandy,Tube well,Lahore,"Wheat, Rice"
21,74,15,6.471862118,2.303780503,Clayey,Tube well,Multan,"Mango, Wheat"
13,67,18,5.384762927,1.701060825,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
27,74,20,5.859813416,1.371036475,Sandy,Canal,Bahawalpur,"Dates, Millet"
29,72,24,6.962386495,2.913986624,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
5,68,20,6.12166671,1.259738045,Clayey,Tube well,Rawalpindi,"Barley, Maize"
39,57,19,6.421748487,1.96553651,Clayey,Canal,Rawalpindi,"Barley, Maize"
22,62,16,4.828936119,1.754825838,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
18,55,23,6.98571967,2.708662991,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
39,77,21,4.603563116,2.924585778,Clayey,Rain-fed,Multan,"Mango, Wheat"
13,75,20,6.979540061,4.115813727,Clayey,Tube well,Lahore,"Wheat, Rice"
27,71,24,7.064973419,2.847721196,Sandy,Tube well,Multan,"Mango, Wheat"
26,64,22,5.16516459,3.10978662,Sandy,Rain-fed,Lahore,"Wheat, Rice"
23,55,16,5.111488821,4.95433237,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
4,69,19,5.374358869,2.712340653,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
20,67,19,5.671419084,1.356545617,Sandy,Canal,Lahore,"Wheat, Rice"
7,74,17,5.667419697,2.831803033,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
17,64,18,6.07938452,3.856400504,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
35,71,17,6.931924963,2.399377482,Sandy,Tube well,Lahore,"Wheat, Rice"
11,72,22,6.842744374,1.717445273,Clayey,Canal,Rawalpindi,"Barley, Maize"
20,60,22,6.876572503,1.835426236,Loamy,Tube well,Bahawalpur,"Dates, Millet"
10,71,18,6.151029296,4.651091223,Loamy,Rain-fed,Multan,"Mango, Wheat"
33,61,24,4.567446499,1.178567292,Sandy,Tube well,Multan,"Mango, Wheat"
3,49,18,3.692863601,0.979780782,Sandy,Tube well,Multan,"Mango, Wheat"
22,59,23,4.371745575,1.192660641,Sandy,Rain-fed,Lahore,"Wheat, Rice"
36,58,25,8.399135958,1.563808397,Loamy,Rain-fed,Lahore,"Wheat, Rice"
4,43,18,8.840656256,3.908597475,Sandy,Rain-fed,Multan,"Mango, Wheat"
29,54,16,8.153022903,1.662541159,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
32,43,22,5.270749441,4.786211995,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
14,55,15,8.050304395,4.305771388,Loamy,Rain-fed,Lahore,"Wheat, Rice"
5,35,20,9.679240873,2.294341176,Sandy,Tube well,Multan,"Mango, Wheat"
25,57,24,6.974978386,0.655318813,Loamy,Canal,Rawalpindi,"Barley, Maize"
11,53,24,7.39389918,2.985973878,Loamy,Rain-fed,Lahore,"Wheat, Rice"
40,49,17,6.68727523,4.737632401,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
38,56,25,7.88118645,1.358394467,Sandy,Canal,Multan,"Mango, Wheat"
27,43,23,5.875333778,3.678990164,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
24,38,22,8.202706015,1.596367008,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
23,45,21,8.985348193,3.471896728,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
29,57,20,5.87707519,1.353358596,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
31,35,23,7.707595055,2.445941366,Clayey,Canal,Bahawalpur,"Dates, Millet"
0,55,25,4.524171562,4.043974918,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
7,45,22,9.926212291,4.274152533,Loamy,Tube well,Bahawalpur,"Dates, Millet"
17,58,25,6.455592696,0.884688277,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
11,44,17,8.016210782,3.318214827,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
22,49,22,3.71105919,3.894188305,Clayey,Tube well,Rawalpindi,"Barley, Maize"
9,51,19,5.49091063,1.791436274,Sandy,Tube well,Bahawalpur,"Dates, Millet"
28,48,15,9.254089438,1.900973421,Sandy,Tube well,Bahawalpur,"Dates, Millet"
26,50,19,6.005242945,1.330766175,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
36,56,20,7.437078236,4.576167587,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
8,60,18,3.808429173,3.070950696,Sandy,Tube well,Multan,"Mango, Wheat"
24,37,21,5.818219385,2.543642759,Sandy,Rain-fed,Multan,"Mango, Wheat"
22,43,24,4.52363558,4.405495388,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
36,43,24,3.510404312,4.551952357,Clayey,Canal,Multan,"Mango, Wheat"
22,44,24,6.030447288,0.711050731,Clayey,Canal,Rawalpindi,"Barley, Maize"
17,43,22,5.498340808,1.251926599,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
8,45,15,4.61136408,1.905057736,Loamy,Canal,Lahore,"Wheat, Rice"
7,56,23,5.545219232,2.97161235,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
36,57,16,8.292875734,3.061197183,Loamy,Rain-fed,Lahore,"Wheat, Rice"
11,45,19,3.828031463,2.418183748,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
6,36,22,8.869532817,2.264883148,Clayey,Tube well,Rawalpindi,"Barley, Maize"
17,57,20,3.793575185,3.336667166,Loamy,Canal,Rawalpindi,"Barley, Maize"
4,47,20,4.193189124,3.584645505,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
9,49,16,7.661537348,3.525690444,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
25,51,24,9.392694614,4.273553976,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
36,44,21,4.516154055,1.401282579,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
21,38,20,5.794289715,0.719252741,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
37,57,20,7.354286985,2.175698445,Loamy,Canal,Bahawalpur,"Dates, Millet"
32,48,18,5.993513566,0.868500567,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
29,44,20,8.620107545,1.099409361,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
25,51,18,9.45949344,2.108915999,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
10,44,24,8.0344125,4.248936412,Sandy,Canal,Rawalpindi,"Barley, Maize"
23,35,18,5.414492777,2.63969824,Loamy,Tube well,Rawalpindi,"Barley, Maize"
9,60,23,6.276004336,0.790468913,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
3,58,21,9.160691747,3.498761893,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
22,42,22,7.887658711,4.57042413,Loamy,Rain-fed,Multan,"Mango, Wheat"
12,39,21,8.183844843,0.741193677,Loamy,Canal,Rawalpindi,"Barley, Maize"
39,36,22,9.072011412,0.91123015,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
32,41,16,7.702287236,0.932120372,Loamy,Canal,Lahore,"Wheat, Rice"
30,41,15,5.88509677,0.690228719,Sandy,Tube well,Lahore,"Wheat, Rice"
19,36,22,6.16496284,2.84722922,Sandy,Canal,Bahawalpur,"Dates, Millet"
4,46,15,3.504752314,4.281160109,Loamy,Canal,Multan,"Mango, Wheat"
21,39,20,7.388007483,4.88735753,Sandy,Tube well,Rawalpindi,"Barley, Maize"
35,57,25,8.340398059,2.463391113,Clayey,Canal,Bahawalpur,"Dates, Millet"
22,55,24,8.66077954,4.017604603,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
35,51,17,3.558822825,2.858427259,Sandy,Canal,Lahore,"Wheat, Rice"
17,56,17,5.9565851,1.337331348,Loamy,Canal,Rawalpindi,"Barley, Maize"
28,57,17,9.416003106,2.183587825,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
22,36,16,8.18422855,4.770918293,Clayey,Rain-fed,Multan,"Mango, Wheat"
11,41,19,5.131779302,2.580174975,Clayey,Canal,Faisalabad,"Cotton, Sugarcane"
38,38,18,6.294130313,3.279585786,Clayey,Canal,Multan,"Mango, Wheat"
23,37,24,7.991902443,1.162841068,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
25,35,20,8.923095695,4.073401008,Clayey,Tube well,Rawalpindi,"Barley, Maize"
40,45,20,6.878498176,4.920676188,Clayey,Canal,Rawalpindi,"Barley, Maize"
23,58,19,5.243634849,1.100887433,Loamy,Canal,Bahawalpur,"Dates, Millet"
2,56,23,7.550090941,2.677477809,Sandy,Tube well,Rawalpindi,"Barley, Maize"
3,56,17,8.709291688,4.462139331,Loamy,Rain-fed,Multan,"Mango, Wheat"
26,51,25,7.792508068,4.443116289,Clayey,Canal,Multan,"Mango, Wheat"
39,42,20,8.055908858,3.237236811,Clayey,Tube well,Multan,"Mango, Wheat"
27,59,20,4.397698806,1.682496758,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
24,45,19,5.952384957,4.117167996,Clayey,Canal,Multan,"Mango, Wheat"
7,40,17,8.532078733,4.926514027,Sandy,Tube well,Multan,"Mango, Wheat"
15,45,23,7.224193642,3.007124038,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
26,52,23,4.931890506,2.006352175,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
20,45,16,4.626212446,3.794963083,Loamy,Canal,Rawalpindi,"Barley, Maize"
34,54,24,5.026003659,4.122642981,Sandy,Canal,Lahore,"Wheat, Rice"
19,51,25,3.5253661,1.222648696,Clayey,Tube well,Rawalpindi,"Barley, Maize"
29,41,21,8.86979671,1.646269896,Sandy,Canal,Lahore,"Wheat, Rice"
20,50,22,9.406887533,2.108298385,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
11,40,23,5.80428611,1.973963602,Clayey,Tube well,Lahore,"Wheat, Rice"
15,54,15,8.35495812,1.791262742,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
35,55,22,8.634929739,3.466220084,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
9,59,25,7.699200949,3.337164955,Clayey,Tube well,Bahawalpur,"Dates, Millet"
40,45,18,5.261285926,2.449000325,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
35,38,19,9.112771682,2.032664966,Loamy,Tube well,Rawalpindi,"Barley, Maize"
14,58,17,4.605700542,1.283474015,Clayey,Canal,Bahawalpur,"Dates, Millet"
40,55,18,7.115994051,3.02757058,Sandy,Rain-fed,Multan,"Mango, Wheat"
18,36,23,7.214078621,4.015033236,Clayey,Canal,Bahawalpur,"Dates, Millet"
35,52,15,9.93509073,4.758023202,Sandy,Tube well,Bahawalpur,"Dates, Millet"
4,59,22,8.914074888,4.119971788,Sandy,Canal,Bahawalpur,"Dates, Millet"
22,51,16,8.639586199,3.009114266,Loamy,Tube well,Lahore,"Wheat, Rice"
33,47,17,8.621514073,4.447696343,Clayey,Tube well,Bahawalpur,"Dates, Millet"
2,51,17,5.838508699,3.790842027,Sandy,Rain-fed,Lahore,"Wheat, Rice"
16,51,21,3.532008668,1.915875514,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
19,55,20,7.18530147,0.726763759,Clayey,Canal,Lahore,"Wheat, Rice"
8,54,20,7.034214276,3.292227698,Clayey,Rain-fed,Multan,"Mango, Wheat"
36,55,20,6.635968698,0.726037861,Clayey,Canal,Bahawalpur,"Dates, Millet"
10,56,16,6.828187499,4.443151851,Sandy,Canal,Multan,"Mango, Wheat"
22,56,17,6.89077995,4.873585772,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
9,57,24,7.165121109,2.118888749,Loamy,Canal,Lahore,"Wheat, Rice"
